t,x1,y1,x2,y2,x3,y3
4.35,0.53691011974316682487,0.28857437828807802616,-0.01833601545949220882,-0.60696792672170685190,-0.51233771476696787772,0.32113593929528011506
4.40,0.54583989876991578782,0.24083404570399730149,-0.06422521488323856831,-0.58971829593390445723,-0.47789226777734877816,0.34916597877320920684
4.45,0.55299748151717798006,0.19196430535903838410,-0.10486076777541712690,-0.57376841575156234398,-0.43957361832180269490,0.37755313258846240343
4.50,0.54615061336005654713,0.13816595222537222942,-0.15173475600293170884,-0.54626619842492807333,-0.39551602819785264264,0.40124704461296839542
4.55,0.54188151761404323992,0.09016535581489294737,-0.19356623919572793491,-0.51075413263181179691,-0.34968978090922719915,0.42355390038126056185
4.60,0.53618281093635511425,0.03698632658647061505,-0.22727487038883098514,-0.48235735996634598877,-0.29647891495377182158,0.43910988849694138070
4.65,0.51381209793964877086,-0.00998158529073990899,-0.26766464695540020946,-0.43963844179845662508,-0.24841107816812074693,0.45824039659492599164
4.70,0.49721154841766396215,-0.06659814042348903562,-0.30677284896297879468,-0.39962802733030600155,-0.19159415196903778478,0.45874940094724669937
4.75,0.47331028543947328835,-0.11403639137342397314,-0.33795185564857377347,-0.35407476991771918984,-0.13927526619170532696,0.47241004629999377995
4.80,0.43770994880257224624,-0.16686753743113272308,-0.36118962112695973676,-0.30075937431937133093,-0.08035360850823057566,0.46832115974097054956
4.85,0.40070202171373309197,-0.21455608385018723472,-0.38352814483468888884,-0.24575899203971093843,-0.01602410161564736535,0.45437874883345946708
4.90,0.36270322428636381229,-0.25320998928817411988,-0.39941930681031201367,-0.18475274658031723418,0.04545086701009622143,0.44003500628354247359
4.95,0.30837950026397686898,-0.29548992539816970604,-0.41105873526964720188,-0.12034553165982761480,0.10381043050557089980,0.41487880749776168132
5.00,0.25306880942247506061,-0.33247975476515878590,-0.41092021143252144277,-0.05877379554075831680,0.15716174122061810081,0.38492008212672362832
